WarNum,WarName,WarType,ccode1,SideA,ccode2,SideB,StartMonth1,StartDay1,StartYear1,EndMonth1,EndDay1,EndYear1,StartMonth2,StartDay2,StartYear2,EndMonth2,EndDay2 ,EndYear2,Initiator,Interven,TransFrom,Outcome,TransTo,WhereFought,BatDeath,NonStateDeaths,Version,ccode,StateName,Side,EndDay2,CcodeA,CcodeB,Intnl,SideADeaths,SideBDeaths,SideA1,SideA2,SideB1,SideB2,SideB3,SideB4,SideB5,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,TotalCombatDeaths
300,Allied Bombardment of Algiers,3,210.0,Netherlands,-8.0,-8,8.0,26.0,1816.0,8.0,30.0,1816.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,1,1.0,-8,1,-8,6,13.0,-8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
300,Allied Bombardment of Algiers,3,200.0,United Kingdom,-8.0,Algeria,8.0,26.0,1816.0,8.0,30.0,1816.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,1,1.0,-8,1,-8,6,129.0,6000.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
301,Ottoman-Wahhabi,3,640.0,Ottoman Empire,-8.0,Saudi Wahhabis,9.0,-9.0,1816.0,9.0,11.0,1818.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,1,0.0,-8,1,-8,6,13500.0,14000.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
302,Liberation of Chile,2,230.0,Spain,-8.0,San Martin revolutionaries,1.0,9.0,1817.0,4.0,5.0,1818.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,0,0.0,-8,2,-8,1,1700.0,1140.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
303,First Bolivar Expedition,2,230.0,Spain,-8.0,New Granada,4.0,11.0,1817.0,8.0,10.0,1819.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,1,0.0,-8,2,-8,1,3000.0,2000.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
304,Mexican Independence,2,230.0,Spain,-8.0,Mina Expedition,8.0,15.0,1817.0,1.0,1.0,1818.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,0,0.0,-8,1,-8,1,1000.0,1000.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
305,British-Kandyan,2,200.0,United Kingdom,-8.0,Kandyan rebels,10.0,-9.0,1817.0,11.0,26.0,1818.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,0,0.0,-8,1,-8,7,1000.0,10000.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
306,British-Maratha,2,200.0,United Kingdom,-8.0,Marathas,11.0,6.0,1817.0,6.0,3.0,1818.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,0,0.0,-8,1,-8,7,2800.0,2000.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
307,Ottoman Conquest of Sudan,3,640.0,Ottoman Empire,-8.0,Sudan states,-9.0,-9.0,1820.0,6.0,-9.0,1821.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,1,0.0,-8,1,-8,4,4000.0,2500.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
308,Second Bolivar Expedition,2,230.0,Spain,-8.0,New Granada,4.0,28.0,1821.0,5.0,24.0,1822.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,0,0.0,-8,2,-8,1,1000.0,500.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
309,Turco-Persian,3,640.0,Ottoman Empire,-8.0,Persia,8.0,-9.0,1821.0,5.0,-9.0,1822.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,0,0.0,-8,6,-8,6,1000.0,-9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
310,First British-Burmese,3,200.0,United Kingdom,-8.0,Burma,9.0,24.0,1823.0,2.0,24.0,1826.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,0,0.0,-8,1,-8,7,15000.0,15000.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
311,First British-Ashanti,3,200.0,United Kingdom,-8.0,Ashanti-Ghana,1.0,20.0,1824.0,8.0,7.0,1826.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,0,0.0,-8,1,-8,4,1400.0,5000.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
312,Liberation of Peru,2,230.0,Spain,-8.0,Latin American revolutionaries,2.0,4.0,1824.0,4.0,2.0,1825.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,0,0.0,-8,2,-8,1,2000.0,400.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
